age_group,education_level,marital_status,sex,count
58,Primary School,Widowed,Male,8097
58,Primary School,Widowed,Female,31740
59,Primary School,Unmarried,Male,5983
59,Primary School,Unmarried,Female,510
59,Primary School,With Spouse,Male,101575
59,Primary School,With Spouse,Female,166665
59,Primary School,Divorced,Male,3070
59,Primary School,Divorced,Female,1894
59,Primary School,Widowed,Male,4831
59,Primary School,Widowed,Female,20018
60,Primary School,Unmarried,Male,8168
60,Primary School,Unmarried,Female,596
60,Primary School,With Spouse,Male,134432
60,Primary School,With Spouse,Female,201208
60,Primary School,Divorced,Male,4217
60,Primary School,Divorced,Female,2460
60,Primary School,Widowed,Male,7417
60,Primary School,Widowed,Female,27035
61,Primary School,Unmarried,Male,8954
61,Primary School,Unmarried,Female,499
61,Primary School,With Spouse,Male,144610
61,Primary School,With Spouse,Female,200374
61,Primary School,Divorced,Male,4280
61,Primary School,Divorced,Female,2235
61,Primary School,Widowed,Male,9062
61,Primary School,Widowed,Female,30483
62,Primary School,Unmarried,Male,13216
62,Primary School,Unmarried,Female,687
62,Primary School,With Spouse,Male,202268
62,Primary School,With Spouse,Female,271024
62,Primary School,Divorced,Male,5471
62,Primary School,Divorced,Female,2821
62,Primary School,Widowed,Male,13942
62,Primary School,Widowed,Female,44250
63,Primary School,Unmarried,Male,14905
63,Primary School,Unmarried,Female,693
63,Primary School,With Spouse,Male,243475
63,Primary School,With Spouse,Female,319754
63,Primary School,Divorced,Male,5696
63,Primary School,Divorced,Female,3021
63,Primary School,Widowed,Male,18202
63,Primary School,Widowed,Female,56091
64,Primary School,Unmarried,Male,13877
64,Primary School,Unmarried,Female,625
64,Primary School,With Spouse,Male,230713
64,Primary School,With Spouse,Female,305318
64,Primary School,Divorced,Male,5060
64,Primary School,Divorced,Female,2754
64,Primary School,Widowed,Male,18831
64,Primary School,Widowed,Female,58697
15,Junior high school,Unmarried,Male,383975
15,Junior high school,Unmarried,Female,306889
15,Junior high school,With Spouse,Male,108
15,Junior high school,With Spouse,Female,487
15,Junior high school,Divorced,Male,0
15,Junior high school,Divorced,Female,2
15,Junior high school,Widowed,Male,0
15,Junior high school,Widowed,Female,0
16,Junior high school,Unmarried,Male,194908
16,Junior high school,Unmarried,Female,147998
16,Junior high school,With Spouse,Male,329
16,Junior high school,With Spouse,Female,1665
16,Junior high school,Divorced,Male,1
16,Junior high school,Divorced,Female,15
16,Junior high school,Widowed,Male,2
16,Junior high school,Widowed,Female,0
17,Junior high school,Unmarried,Male,130514
17,Junior high school,Unmarried,Female,89095
17,Junior high school,With Spouse,Male,992
17,Junior high school,With Spouse,Female,3803
17,Junior high school,Divorced,Male,11
17,Junior high school,Divorced,Female,31
17,Junior high school,Widowed,Male,0
17,Junior high school,Widowed,Female,3
18,Junior high school,Unmarried,Male,125775
18,Junior high school,Unmarried,Female,75036
18,Junior high school,With Spouse,Male,2177
18,Junior high school,With Spouse,Female,7708
18,Junior high school,Divorced,Male,25
18,Junior high school,Divorced,Female,76
18,Junior high school,Widowed,Male,0
18,Junior high school,Widowed,Female,6
19,Junior high school,Unmarried,Male,135144
19,Junior high school,Unmarried,Female,75961
19,Junior high school,With Spouse,Male,4490
19,Junior high school,With Spouse,Female,14419
19,Junior high school,Divorced,Male,74
19,Junior high school,Divorced,Female,116
19,Junior high school,Widowed,Male,4
19,Junior high school,Widowed,Female,6
20,Junior high school,Unmarried,Male,139013
20,Junior high school,Unmarried,Female,69651
20,Junior high school,With Spouse,Male,9099
20,Junior high school,With Spouse,Female,26818
20,Junior high school,Divorced,Male,152
20,Junior high school,Divorced,Female,261
20,Junior high school,Widowed,Male,1
20,Junior high school,Widowed,Female,17
21,Junior high school,Unmarried,Male,147735
21,Junior high school,Unmarried,Female,69923
21,Junior high school,With Spouse,Male,16346
21,Junior high school,With Spouse,Female,42443
21,Junior high school,Divorced,Male,290
21,Junior high school,Divorced,Female,500
21,Junior high school,Widowed,Male,7
21,Junior high school,Widowed,Female,26
22,Junior high school,Unmarried,Male,169041
22,Junior high school,Unmarried,Female,75501
22,Junior high school,With Spouse,Male,31642
22,Junior high school,With Spouse,Female,68440
22,Junior high school,Divorced,Male,569
22,Junior high school,Divorced,Female,994
22,Junior high school,Widowed,Male,17
22,Junior high school,Widowed,Female,55
23,Junior high school,Unmarried,Male,165889
23,Junior high school,Unmarried,Female,70065
23,Junior high school,With Spouse,Male,49087
23,Junior high school,With Spouse,Female,91780
23,Junior high school,Divorced,Male,1006
23,Junior high school,Divorced,Female,1514
23,Junior high school,Widowed,Male,30
23,Junior high school,Widowed,Female,63
24,Junior high school,Unmarried,Male,165542
24,Junior high school,Unmarried,Female,65361
24,Junior high school,With Spouse,Male,72361
24,Junior high school,With Spouse,Female,119640
24,Junior high school,Divorced,Male,1736
24,Junior high school,Divorced,Female,2308
24,Junior high school,Widowed,Male,27
24,Junior high school,Widowed,Female,90
25,Junior high school,Unmarried,Male,168563
25,Junior high school,Unmarried,Female,60949
25,Junior high school,With Spouse,Male,103068
25,Junior high school,With Spouse,Female,154993
25,Junior high school,Divorced,Male,2827
25,Junior high school,Divorced,Female,3261
25,Junior high school,Widowed,Male,48
25,Junior high school,Widowed,Female,167
26,Junior high school,Unmarried,Male,148240
26,Junior high school,Unmarried,Female,49609
26,Junior high school,With Spouse,Male,128954
26,Junior high school,With Spouse,Female,176497
26,Junior high school,Divorced,Male,4064
26,Junior high school,Divorced,Female,4112
26,Junior high school,Widowed,Male,85
26,Junior high school,Widowed,Female,219
27,Junior high school,Unmarried,Male,145156
27,Junior high school,Unmarried,Female,45035
27,Junior high school,With Spouse,Male,171003
27,Junior high school,With Spouse,Female,221773
27,Junior high school,Divorced,Male,6022
27,Junior high school,Divorced,Female,5521
27,Junior high school,Widowed,Male,101
27,Junior high school,Widowed,Female,294
28,Junior high school,Unmarried,Male,133139
28,Junior high school,Unmarried,Female,38281
28,Junior high school,With Spouse,Male,208185
28,Junior high school,With Spouse,Female,255459
28,Junior high school,Divorced,Male,8307
28,Junior high school,Divorced,Female,6758
28,Junior high school,Widowed,Male,149
28,Junior high school,Widowed,Female,377
29,Junior high school,Unmarried,Male,125855
29,Junior high school,Unmarried,Female,35137
29,Junior high school,With Spouse,Male,256815
29,Junior high school,With Spouse,Female,303483
29,Junior high school,Divorced,Male,11336
29,Junior high school,Divorced,Female,8331
29,Junior high school,Widowed,Male,188
29,Junior high school,Widowed,Female,505
30,Junior high school,Unmarried,Male,137679
30,Junior high school,Unmarried,Female,37357
30,Junior high school,With Spouse,Male,367100
30,Junior high school,With Spouse,Female,421440
30,Junior high school,Divorced,Male,17085
30,Junior high school,Divorced,Female,11680
30,Junior high school,Widowed,Male,338
30,Junior high school,Widowed,Female,740
31,Junior high school,Unmarried,Male,114589
31,Junior high school,Unmarried,Female,29327
31,Junior high school,With Spouse,Male,385054
31,Junior high school,With Spouse,Female,437310
31,Junior high school,Divorced,Male,19413
31,Junior high school,Divorced,Female,13029
31,Junior high school,Widowed,Male,431
31,Junior high school,Widowed,Female,987
32,Junior high school,Unmarried,Male,92084
32,Junior high school,Unmarried,Female,23581
32,Junior high school,With Spouse,Male,385125
32,Junior high school,With Spouse,Female,429716
32,Junior high school,Divorced,Male,20429
32,Junior high school,Divorced,Female,13277
32,Junior high school,Widowed,Male,498
32,Junior high school,Widowed,Female,1066
33,Junior high school,Unmarried,Male,87472
33,Junior high school,Unmarried,Female,21771
33,Junior high school,With Spouse,Male,444006
33,Junior high school,With Spouse,Female,484786
33,Junior high school,Divorced,Male,24941
33,Junior high school,Divorced,Female,15429
33,Junior high school,Widowed,Male,529
33,Junior high school,Widowed,Female,1442
34,Junior high school,Unmarried,Male,67643
34,Junior high school,Unmarried,Female,17098
34,Junior high school,With Spouse,Male,407425
34,Junior high school,With Spouse,Female,439662
34,Junior high school,Divorced,Male,23405
34,Junior high school,Divorced,Female,14415
34,Junior high school,Widowed,Male,575
34,Junior high school,Widowed,Female,1522
35,Junior high school,Unmarried,Male,51945
35,Junior high school,Unmarried,Female,13194
35,Junior high school,With Spouse,Male,372806
35,Junior high school,With Spouse,Female,392709
35,Junior high school,Divorced,Male,21421
35,Junior high school,Divorced,Female,12866
35,Junior high school,Widowed,Male,612
35,Junior high school,Widowed,Female,1651
36,Junior high school,Unmarried,Male,45478
36,Junior high school,Unmarried,Female,11507
36,Junior high school,With Spouse,Male,385647
36,Junior high school,With Spouse,Female,400834
36,Junior high school,Divorced,Male,22035
36,Junior high school,Divorced,Female,13172
36,Junior high school,Widowed,Male,644
36,Junior high school,Widowed,Female,1810
37,Junior high school,Unmarried,Male,39144
37,Junior high school,Unmarried,Female,9952
37,Junior high school,With Spouse,Male,385425
37,Junior high school,With Spouse,Female,390356
37,Junior high school,Divorced,Male,22049
37,Junior high school,Divorced,Female,13014
37,Junior high school,Widowed,Male,756
37,Junior high school,Widowed,Female,2136
38,Junior high school,Unmarried,Male,40118
38,Junior high school,Unmarried,Female,10271
38,Junior high school,With Spouse,Male,450495
38,Junior high school,With Spouse,Female,450506
38,Junior high school,Divorced,Male,26604
38,Junior high school,Divorced,Female,15357
38,Junior high school,Widowed,Male,957
38,Junior high school,Widowed,Female,2698
39,Junior high school,Unmarried,Male,32115
39,Junior high school,Unmarried,Female,8355
39,Junior high school,With Spouse,Male,406112
39,Junior high school,With Spouse,Female,404840
39,Junior high school,Divorced,Male,23436
39,Junior high school,Divorced,Female,13580
39,Junior high school,Widowed,Male,895
39,Junior high school,Widowed,Female,2715
40,Junior high school,Unmarried,Male,27173
40,Junior high school,Unmarried,Female,7052
40,Junior high school,With Spouse,Male,379288
40,Junior high school,With Spouse,Female,373529
40,Junior high school,Divorced,Male,21237
40,Junior high school,Divorced,Female,12963
40,Junior high school,Widowed,Male,1069
40,Junior high school,Widowed,Female,2976
41,Junior high school,Unmarried,Male,27346
41,Junior high school,Unmarried,Female,6690
41,Junior high school,With Spouse,Male,428838
41,Junior high school,With Spouse,Female,418615
41,Junior high school,Divorced,Male,24336
41,Junior high school,Divorced,Female,15122
41,Junior high school,Widowed,Male,1341
41,Junior high school,Widowed,Female,3714
42,Junior high school,Unmarried,Male,24058
42,Junior high school,Unmarried,Female,5923
42,Junior high school,With Spouse,Male,417172
42,Junior high school,With Spouse,Female,404560
42,Junior high school,Divorced,Male,22716
42,Junior high school,Divorced,Female,14812
42,Junior high school,Widowed,Male,1486
42,Junior high school,Widowed,Female,4289
43,Junior high school,Unmarried,Male,21745
43,Junior high school,Unmarried,Female,5347
43,Junior high school,With Spouse,Male,410093
43,Junior high school,With Spouse,Female,391894
43,Junior high school,Divorced,Male,21976
43,Junior high school,Divorced,Female,14607
43,Junior high school,Widowed,Male,1637
43,Junior high school,Widowed,Female,4579
44,Junior high school,Unmarried,Male,22287
44,Junior high school,Unmarried,Female,5399
44,Junior high school,With Spouse,Male,466951
44,Junior high school,With Spouse,Female,443988
44,Junior high school,Divorced,Male,23856
44,Junior high school,Divorced,Female,15969
44,Junior high school,Widowed,Male,2090
44,Junior high school,Widowed,Female,5698
45,Junior high school,Unmarried,Male,22205
45,Junior high school,Unmarried,Female,5103
45,Junior high school,With Spouse,Male,484948
45,Junior high school,With Spouse,Female,458039
45,Junior high school,Divorced,Male,23778
45,Junior high school,Divorced,Female,16753
45,Junior high school,Widowed,Male,2522
45,Junior high school,Widowed,Female,6977
46,Junior high school,Unmarried,Male,22629
46,Junior high school,Unmarried,Female,5225
46,Junior high school,With Spouse,Male,538084
46,Junior high school,With Spouse,Female,508952
46,Junior high school,Divorced,Male,25108
46,Junior high school,Divorced,Female,17854
46,Junior high school,Widowed,Male,3212
46,Junior high school,Widowed,Female,8349
47,Junior high school,Unmarried,Male,21885
47,Junior high school,Unmarried,Female,5114
47,Junior high school,With Spouse,Male,567672
47,Junior high school,With Spouse,Female,525974
47,Junior high school,Divorced,Male,25152
47,Junior high school,Divorced,Female,18474
47,Junior high school,Widowed,Male,3715
47,Junior high school,Widowed,Female,9877
48,Junior high school,Unmarried,Male,20682
48,Junior high school,Unmarried,Female,4763
48,Junior high school,With Spouse,Male,585264
48,Junior high school,With Spouse,Female,537540
48,Junior high school,Divorced,Male,24543
48,Junior high school,Divorced,Female,18536
48,Junior high school,Widowed,Male,4467
48,Junior high school,Widowed,Female,11121
49,Junior high school,Unmarried,Male,19600
49,Junior high school,Unmarried,Female,4486
49,Junior high school,With Spouse,Male,608812
49,Junior high school,With Spouse,Female,547956
49,Junior high school,Divorced,Male,24542
49,Junior high school,Divorced,Female,18574
49,Junior high school,Widowed,Male,5045
49,Junior high school,Widowed,Female,13130
50,Junior high school,Unmarried,Male,18776
50,Junior high school,Unmarried,Female,4009
50,Junior high school,With Spouse,Male,635646
50,Junior high school,With Spouse,Female,573434
50,Junior high school,Divorced,Male,24697
50,Junior high school,Divorced,Female,18955
50,Junior high school,Widowed,Male,6229
50,Junior high school,Widowed,Female,15985
51,Junior high school,Unmarried,Male,15394
51,Junior high school,Unmarried,Female,3221
51,Junior high school,With Spouse,Male,587072
51,Junior high school,With Spouse,Female,519360
51,Junior high school,Divorced,Male,21986
51,Junior high school,Divorced,Female,17317
51,Junior high school,Widowed,Male,6973
51,Junior high school,Widowed,Female,16687
52,Junior high school,Unmarried,Male,14908
52,Junior high school,Unmarried,Female,3085
52,Junior high school,With Spouse,Male,630863
52,Junior high school,With Spouse,Female,550545
52,Junior high school,Divorced,Male,22407
52,Junior high school,Divorced,Female,17585
52,Junior high school,Widowed,Male,8412
52,Junior high school,Widowed,Female,19884
53,Junior high school,Unmarried,Male,11309
53,Junior high school,Unmarried,Female,2227
53,Junior high school,With Spouse,Male,509637
53,Junior high school,With Spouse,Female,439265
53,Junior high school,Divorced,Male,16666
53,Junior high school,Divorced,Female,13052
53,Junior high school,Widowed,Male,7725
53,Junior high school,Widowed,Female,18327
54,Junior high school,Unmarried,Male,11731
54,Junior high school,Unmarried,Female,2169
54,Junior high school,With Spouse,Male,575489
54,Junior high school,With Spouse,Female,486238
54,Junior high school,Divorced,Male,18128
54,Junior high school,Divorced,Female,14420
54,Junior high school,Widowed,Male,9950
54,Junior high school,Widowed,Female,22872
55,Junior high school,Unmarried,Male,10614
55,Junior high school,Unmarried,Female,2008
55,Junior high school,With Spouse,Male,550498
55,Junior high school,With Spouse,Female,470127
55,Junior high school,Divorced,Male,17723
55,Junior high school,Divorced,Female,14297
55,Junior high school,Widowed,Male,10804
55,Junior high school,Widowed,Female,25224
56,Junior high school,Unmarried,Male,9892
56,Junior high school,Unmarried,Female,1853
56,Junior high school,With Spouse,Male,512857
56,Junior high school,With Spouse,Female,441070
56,Junior high school,Divorced,Male,16886
56,Junior high school,Divorced,Female,13613
56,Junior high school,Widowed,Male,11382
56,Junior high school,Widowed,Female,27005
57,Junior high school,Unmarried,Male,10977
57,Junior high school,Unmarried,Female,1921
57,Junior high school,With Spouse,Male,576937
57,Junior high school,With Spouse,Female,483035
57,Junior high school,Divorced,Male,18335
57,Junior high school,Divorced,Female,14323
57,Junior high school,Widowed,Male,14447
57,Junior high school,Widowed,Female,33055
58,Junior high school,Unmarried,Male,7137
58,Junior high school,Unmarried,Female,1242
58,Junior high school,With Spouse,Male,400913
58,Junior high school,With Spouse,Female,325525
58,Junior high school,Divorced,Male,11523
58,Junior high school,Divorced,Female,8758
58,Junior high school,Widowed,Male,11379
58,Junior high school,Widowed,Female,24940
59,Junior high school,Unmarried,Male,3631
59,Junior high school,Unmarried,Female,671
59,Junior high school,With Spouse,Male,201620
59,Junior high school,With Spouse,Female,166143
59,Junior high school,Divorced,Male,6517
59,Junior high school,Divorced,Female,4841
59,Junior high school,Widowed,Male,6355
59,Junior high school,Widowed,Female,14169
60,Junior high school,Unmarried,Male,4225
60,Junior high school,Unmarried,Female,758
60,Junior high school,With Spouse,Male,244004
60,Junior high school,With Spouse,Female,191320
60,Junior high school,Divorced,Male,7783
60,Junior high school,Divorced,Female,6104
60,Junior high school,Widowed,Male,8954
60,Junior high school,Widowed,Female,18672
61,Junior high school,Unmarried,Male,3877
61,Junior high school,Unmarried,Female,622
61,Junior high school,With Spouse,Male,226204
61,Junior high school,With Spouse,Female,165449
61,Junior high school,Divorced,Male,6693
61,Junior high school,Divorced,Female,4853
61,Junior high school,Widowed,Male,9463
61,Junior high school,Widowed,Female,17592
62,Junior high school,Unmarried,Male,4795
62,Junior high school,Unmarried,Female,744
62,Junior high school,With Spouse,Male,284837
62,Junior high school,With Spouse,Female,200538
62,Junior high school,Divorced,Male,7764
62,Junior high school,Divorced,Female,5674
62,Junior high school,Widowed,Male,12709
62,Junior high school,Widowed,Female,23319
63,Junior high school,Unmarried,Male,5089
63,Junior high school,Unmarried,Female,732
63,Junior high school,With Spouse,Male,314124
63,Junior high school,With Spouse,Female,212732
63,Junior high school,Divorced,Male,7553
63,Junior high school,Divorced,Female,5625
63,Junior high school,Widowed,Male,15584
63,Junior high school,Widowed,Female,26250
64,Junior high school,Unmarried,Male,4300
64,Junior high school,Unmarried,Female,685
64,Junior high school,With Spouse,Male,274045
64,Junior high school,With Spouse,Female,188015
64,Junior high school,Divorced,Male,6295
64,Junior high school,Divorced,Female,4936
64,Junior high school,Widowed,Male,14998
64,Junior high school,Widowed,Female,25533
15,High School,Unmarried,Male,440365
15,High School,Unmarried,Female,416583
15,High School,With Spouse,Male,33
15,High School,With Spouse,Female,43
15,High School,Divorced,Male,1
15,High School,Divorced,Female,1
15,High School,Widowed,Male,0
15,High School,Widowed,Female,0
16,High School,Unmarried,Male,702970
16,High School,Unmarried,Female,637672
16,High School,With Spouse,Male,89
16,High School,With Spouse,Female,205
16,High School,Divorced,Male,1
16,High School,Divorced,Female,2
16,High School,Widowed,Male,0
16,High School,Widowed,Female,1
17,High School,Unmarried,Male,619220
17,High School,Unmarried,Female,551979
17,High School,With Spouse,Male,254
17,High School,With Spouse,Female,573
17,High School,Divorced,Male,4
17,High School,Divorced,Female,5
17,High School,Widowed,Male,1
17,High School,Widowed,Female,1
18,High School,Unmarried,Male,355155
18,High School,Unmarried,Female,288030
18,High School,With Spouse,Male,559
18,High School,With Spouse,Female,1629
18,High School,Divorced,Male,5
18,High School,Divorced,Female,12
18,High School,Widowed,Male,1
18,High School,Widowed,Female,0
19,High School,Unmarried,Male,192829
19,High School,Unmarried,Female,143453
19,High School,With Spouse,Male,1278
19,High School,With Spouse,Female,3719
19,High School,Divorced,Male,16
19,High School,Divorced,Female,21
19,High School,Widowed,Male,0
19,High School,Widowed,Female,3
20,High School,Unmarried,Male,153676
20,High School,Unmarried,Female,107210
20,High School,With Spouse,Male,2736
20,High School,With Spouse,Female,8757
20,High School,Divorced,Male,28
20,High School,Divorced,Female,71
20,High School,Widowed,Male,4
20,High School,Widowed,Female,6
21,High School,Unmarried,Male,136582
21,High School,Unmarried,Female,87484
21,High School,With Spouse,Male,5560
21,High School,With Spouse,Female,16133
21,High School,Divorced,Male,40
21,High School,Divorced,Female,131
21,High School,Widowed,Male,2
21,High School,Widowed,Female,6
22,High School,Unmarried,Male,145541
22,High School,Unmarried,Female,86802
22,High School,With Spouse,Male,12880
22,High School,With Spouse,Female,28499
22,High School,Divorced,Male,128
22,High School,Divorced,Female,271
22,High School,Widowed,Male,2
22,High School,Widowed,Female,12
23,High School,Unmarried,Male,140286
23,High School,Unmarried,Female,77863
23,High School,With Spouse,Male,22374
23,High School,With Spouse,Female,41674
23,High School,Divorced,Male,227
23,High School,Divorced,Female,457
23,High School,Widowed,Male,7
23,High School,Widowed,Female,23
24,High School,Unmarried,Male,137529
24,High School,Unmarried,Female,70474
24,High School,With Spouse,Male,35205
24,High School,With Spouse,Female,57876
24,High School,Divorced,Male,427
24,High School,Divorced,Female,872
24,High School,Widowed,Male,8
24,High School,Widowed,Female,36
25,High School,Unmarried,Male,133733
25,High School,Unmarried,Female,63180
25,High School,With Spouse,Male,54721
25,High School,With Spouse,Female,79359
25,High School,Divorced,Male,806
25,High School,Divorced,Female,1315
25,High School,Widowed,Male,12
25,High School,Widowed,Female,40
26,High School,Unmarried,Male,116244
26,High School,Unmarried,Female,51244
26,High School,With Spouse,Male,70119
26,High School,With Spouse,Female,92243
26,High School,Divorced,Male,1261
26,High School,Divorced,Female,1812
26,High School,Widowed,Male,11
26,High School,Widowed,Female,60
27,High School,Unmarried,Male,109198
27,High School,Unmarried,Female,44769
27,High School,With Spouse,Male,96077
27,High School,With Spouse,Female,118386
27,High School,Divorced,Male,2004
27,High School,Divorced,Female,2598
27,High School,Widowed,Male,31
27,High School,Widowed,Female,85
28,High School,Unmarried,Male,95928
28,High School,Unmarried,Female,37719
28,High School,With Spouse,Male,120593
28,High School,With Spouse,Female,136126
28,High School,Divorced,Male,2838
28,High School,Divorced,Female,3259
28,High School,Widowed,Male,44
28,High School,Widowed,Female,122
29,High School,Unmarried,Male,86951
29,High School,Unmarried,Female,32341
29,High School,With Spouse,Male,149945
29,High School,With Spouse,Female,161380
29,High School,Divorced,Male,4214
29,High School,Divorced,Female,4384
29,High School,Widowed,Male,52
29,High School,Widowed,Female,176
30,High School,Unmarried,Male,89299
30,High School,Unmarried,Female,32807
30,High School,With Spouse,Male,206579
30,High School,With Spouse,Female,216158
30,High School,Divorced,Male,6191
30,High School,Divorced,Female,6071
30,High School,Widowed,Male,120
30,High School,Widowed,Female,251
31,High School,Unmarried,Male,68985
31,High School,Unmarried,Female,24656
31,High School,With Spouse,Male,213310
31,High School,With Spouse,Female,214653
31,High School,Divorced,Male,7207
31,High School,Divorced,Female,6645
31,High School,Widowed,Male,109
31,High School,Widowed,Female,273
32,High School,Unmarried,Male,53261
32,High School,Unmarried,Female,19417
32,High School,With Spouse,Male,207649
32,High School,With Spouse,Female,203664
32,High School,Divorced,Male,7695
32,High School,Divorced,Female,7130
32,High School,Widowed,Male,126
32,High School,Widowed,Female,333
33,High School,Unmarried,Male,46648
33,High School,Unmarried,Female,17317
33,High School,With Spouse,Male,229949
33,High School,With Spouse,Female,219624
33,High School,Divorced,Male,9224
33,High School,Divorced,Female,8377
33,High School,Widowed,Male,176
33,High School,Widowed,Female,411
34,High School,Unmarried,Male,33196
34,High School,Unmarried,Female,12719
34,High School,With Spouse,Male,198209
34,High School,With Spouse,Female,185578
34,High School,Divorced,Male,8614
34,High School,Divorced,Female,7479
34,High School,Widowed,Male,149
34,High School,Widowed,Female,432
35,High School,Unmarried,Male,23585
35,High School,Unmarried,Female,9431
35,High School,With Spouse,Male,166656
35,High School,With Spouse,Female,152589
35,High School,Divorced,Male,7372
35,High School,Divorced,Female,6600
35,High School,Widowed,Male,136
35,High School,Widowed,Female,405
36,High School,Unmarried,Male,19287
36,High School,Unmarried,Female,7886
36,High School,With Spouse,Male,164091
36,High School,With Spouse,Female,149034
36,High School,Divorced,Male,7405
36,High School,Divorced,Female,6717
36,High School,Widowed,Male,133
36,High School,Widowed,Female,461
37,High School,Unmarried,Male,16301
37,High School,Unmarried,Female,7234
37,High School,With Spouse,Male,162815
37,High School,With Spouse,Female,146064
37,High School,Divorced,Male,7716
37,High School,Divorced,Female,6874
37,High School,Widowed,Male,149
37,High School,Widowed,Female,478
38,High School,Unmarried,Male,16311
38,High School,Unmarried,Female,7555
38,High School,With Spouse,Male,192528
38,High School,With Spouse,Female,172828
38,High School,Divorced,Male,9372
38,High School,Divorced,Female,8717
38,High School,Widowed,Male,199
38,High School,Widowed,Female,718
39,High School,Unmarried,Male,12536
39,High School,Unmarried,Female,5904
39,High School,With Spouse,Male,173437
39,High School,With Spouse,Female,153594
39,High School,Divorced,Male,8193
39,High School,Divorced,Female,7862
39,High School,Widowed,Male,211
39,High School,Widowed,Female,747
40,High School,Unmarried,Male,10184
40,High School,Unmarried,Female,4945
40,High School,With Spouse,Male,161775
40,High School,With Spouse,Female,140869
40,High School,Divorced,Male,7738
40,High School,Divorced,Female,7436
40,High School,Widowed,Male,222
40,High School,Widowed,Female,763
41,High School,Unmarried,Male,9442
41,High School,Unmarried,Female,4548
41,High School,With Spouse,Male,179420
41,High School,With Spouse,Female,154525
41,High School,Divorced,Male,8859
41,High School,Divorced,Female,8674
41,High School,Widowed,Male,300
41,High School,Widowed,Female,1058
42,High School,Unmarried,Male,7803
42,High School,Unmarried,Female,4026
42,High School,With Spouse,Male,166305
42,High School,With Spouse,Female,142072
42,High School,Divorced,Male,8149
42,High School,Divorced,Female,8396
42,High School,Widowed,Male,273
42,High School,Widowed,Female,1078
43,High School,Unmarried,Male,6701
43,High School,Unmarried,Female,3509
43,High School,With Spouse,Male,153248
43,High School,With Spouse,Female,129301
43,High School,Divorced,Male,7765
43,High School,Divorced,Female,8270
43,High School,Widowed,Male,345
43,High School,Widowed,Female,1120
44,High School,Unmarried,Male,6547
44,High School,Unmarried,Female,3391
44,High School,With Spouse,Male,164700
44,High School,With Spouse,Female,136539
44,High School,Divorced,Male,8033
44,High School,Divorced,Female,8896
44,High School,Widowed,Male,416
44,High School,Widowed,Female,1367
45,High School,Unmarried,Male,6220
45,High School,Unmarried,Female,3168
45,High School,With Spouse,Male,162509
45,High School,With Spouse,Female,133687
45,High School,Divorced,Male,8013
45,High School,Divorced,Female,8986
45,High School,Widowed,Male,404
45,High School,Widowed,Female,1514
46,High School,Unmarried,Male,5993
46,High School,Unmarried,Female,3114
46,High School,With Spouse,Male,172126
46,High School,With Spouse,Female,139299
46,High School,Divorced,Male,8452
46,High School,Divorced,Female,9311
46,High School,Widowed,Male,513
46,High School,Widowed,Female,1871
47,High School,Unmarried,Male,5952
47,High School,Unmarried,Female,3131
47,High School,With Spouse,Male,178299
47,High School,With Spouse,Female,141941
47,High School,Divorced,Male,8688
47,High School,Divorced,Female,9972
47,High School,Widowed,Male,633
47,High School,Widowed,Female,2145
48,High School,Unmarried,Male,5534
48,High School,Unmarried,Female,2748
48,High School,With Spouse,Male,179400
48,High School,With Spouse,Female,140091
48,High School,Divorced,Male,8920
48,High School,Divorced,Female,9917
48,High School,Widowed,Male,712
48,High School,Widowed,Female,2470
49,High School,Unmarried,Male,5476
49,High School,Unmarried,Female,2600
49,High School,With Spouse,Male,181680
49,High School,With Spouse,Female,138866
49,High School,Divorced,Male,8678
49,High School,Divorced,Female,10044
49,High School,Widowed,Male,820
49,High School,Widowed,Female,2736
50,High School,Unmarried,Male,4960
50,High School,Unmarried,Female,2391
50,High School,With Spouse,Male,185617
50,High School,With Spouse,Female,142325
50,High School,Divorced,Male,8759
50,High School,Divorced,Female,10562
50,High School,Widowed,Male,1034
50,High School,Widowed,Female,3329
51,High School,Unmarried,Male,3831
51,High School,Unmarried,Female,1703
51,High School,With Spouse,Male,162555
51,High School,With Spouse,Female,124015
51,High School,Divorced,Male,7791
51,High School,Divorced,Female,9297
51,High School,Widowed,Male,1136
51,High School,Widowed,Female,3518
52,High School,Unmarried,Male,3560
52,High School,Unmarried,Female,1717
52,High School,With Spouse,Male,166903
52,High School,With Spouse,Female,125441
52,High School,Divorced,Male,7621
52,High School,Divorced,Female,9043
52,High School,Widowed,Male,1325
52,High School,Widowed,Female,4013
53,High School,Unmarried,Male,2384
53,High School,Unmarried,Female,1106
53,High School,With Spouse,Male,123993
53,High School,With Spouse,Female,91388
53,High School,Divorced,Male,5196
53,High School,Divorced,Female,6141
53,High School,Widowed,Male,1234
53,High School,Widowed,Female,3427
54,High School,Unmarried,Male,2464
54,High School,Unmarried,Female,1110
54,High School,With Spouse,Male,141952
54,High School,With Spouse,Female,103888
54,High School,Divorced,Male,5799
54,High School,Divorced,Female,6877
54,High School,Widowed,Male,1567
54,High School,Widowed,Female,4528
55,High School,Unmarried,Male,2376
55,High School,Unmarried,Female,1051
55,High School,With Spouse,Male,155177
55,High School,With Spouse,Female,115001
55,High School,Divorced,Male,6251
55,High School,Divorced,Female,7615
55,High School,Widowed,Male,1943
55,High School,Widowed,Female,5558
