industry_cn,industry_en,section_header,metric,unit,value
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Total Assets | Total | Assets,,505.03
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,172.84
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,184.51
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,388.08
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),221.66
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,341.03
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,264.85
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,164.01
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,359.73
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,311.77
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,3.21
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Profit Total | Total | Profits,,9.74
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,16.27
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),9.64
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),22.0
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,102.44
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Added Value | added,,31.25
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Total Assets | Total | Assets,,99.91
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,55.02
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,49.28
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,52.74
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),39.65
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,66.4
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,54.02
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,33.51
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,99.78
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,79.91
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.56
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,Profit Total | Total | Profits,,8.94
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,4.38
Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),1.53
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),15.0
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,27.46
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Added Value | added,,7.27
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,31.36
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,20.28
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,19.5
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,11.42
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),7.16
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,19.73
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,19.43
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,11.63
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,27.82
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,21.94
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.1
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,1.96
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.9
Metal Products Industry,Metal Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.93
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),34.0
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,262.5
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Added Value | added,,75.02
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Total Assets | Total | Assets,,280.35
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,239.66
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,231.55
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,48.31
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),24.5
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,219.77
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,213.89
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,60.58
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,227.67
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,184.92
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.5
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,Profit Total | Total | Profits,,20.75
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,14.73
General Equipment Manufacturing Industry,Ordinary Machinery Manufacturing,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),2.63
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),29.0
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,59.05
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Added Value | added,,21.87
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Total Assets | Total | Assets,,111.65
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,71.63
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,66.58
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,55.21
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),28.08
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,87.18
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,71.42
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,24.47
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,60.89
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,48.13
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.45
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,Profit Total | Total | Profits,,2.98
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,2.58
Specialized Equipment Manufacturing Industry,For Special Purposes Equipment Manufacturing,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),2.18
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),58.0
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,267.74
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Added Value | added,,69.83
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Total Assets | Total | Assets,,303.21
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,183.04
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,165.49
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,134.93
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),76.91
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,199.7
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,163.62
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,102.9
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,254.28
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,214.23
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,4.15
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,Profit Total | Total | Profits,,11.91
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,5.88
Transport Equipment Manufacturing Industry,Transport Equipment Manufacturing,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),7.14
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),23.0
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,79.88
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Added Value | added,,23.24
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Total Assets | Total | Assets,,143.05
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,115.85
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,105.23
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,29.48
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),12.1
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,100.41
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,94.97
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,42.64
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,80.2
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,59.39
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.25
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,Profit Total | Total | Profits,,12.48
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,2.29
Electromechanical and Equipment Manufacturing Industry,Electric Equipment and Machinery,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),1.51
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),50.0
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,247.46
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Added Value | added,,54.05
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Total Assets | Total | Assets,,299.87
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,200.02
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,192.49
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,79.05
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),45.45
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,169.75
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,156.99
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,130.12
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,256.62
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,207.46
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.56
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,Profit Total | Total | Profits,,1.77
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,5.14
"Communication Equipment, Computer, and Other Electronic Equipment Manufacturing","Telecommunication Equipment, Computer and Other
     Electronic Equipment",Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),6.3
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),11.0
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,7.47
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Added Value | added,,2.58
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Total Assets | Total | Assets,,9.79
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,4.96
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,4.39
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,3.02
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),1.59
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,5.31
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,3.16
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,4.48
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,8.43
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,6.12
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.27
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.55
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.13
Instrument and Measuring Instruments and Cultural and Office Machinery Manufacturing Industry,"Instruments, Meters, Cultural and Office Machinery",Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.18
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),8.0
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,7.55
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Added Value | added,,3.31
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Total Assets | Total | Assets,,15.44
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,9.24
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,8.41
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,8.2
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),5.15
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,9.71
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,8.8
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,5.72
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,7.61
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,5.99
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.02
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.29
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.18
Handicrafts and Other Manufacturing Industries,Handicraft Articles and Other Manufacture,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.76
"Electricity, Heat Production and Supply Industry",Production and Supply of Electric Power and Heat,Recycling and Processing of Waste Resources and Scrap Materials,Number of Enterprises | (piece) | Number of | (unit),(unit),197.0
"Electricity, Heat Production and Supply Industry",Production and Supply of Electric Power and Heat,Recycling and Processing of Waste Resources and Scrap Materials,Total industrial output value | Gross | Output,,580.09
